X	Y	Z
80	27.2	5
80	28	5
80	28.8	5
80	29.6	5
80	30.4	5
80	31.2	5
80	32	5
80	32.8	5
80	33.6	5
80	34.4	5
80	35.2	5
80	36	5
80	36.8	5
80	37.6	5
80	38.4	5
80	39.2	5
80	40	5
80	40.8	5
80.5	40	5
81	40	5
81.5	40	5
82	40	5
82.5	40	5
83	40	5
83.5	40	5
84	40	5
84.5	40	5
85	40	5
85	39.2	5
85	38.4	5
85	37.6	5
85	36.8	5
85	36	5
85	35.2	5
85	34.4	5
85	33.6	5
85	32.8	5
85	32	5
85	31.2	5
85	30.4	5
85	29.6	5
85	28.8	5
85	28	5
85	27.2	5
85	26.4	5
85	25.6	5
85	24.8	5
85	24	5
85	23.2	5
85	22.4	5
85	21.6	5
85	20.8	5
85	20	5
85	19.2	5
85	18.4	5
85	17.6	5
85	16.8	5
85	16	5
85	15.2	5
85	14.4	5
85	13.6	5
85	12.8	5
85	12	5
85	11.2	5
85	10.4	5
85	9.60002	5
85	8.80002	5
85	8.00002	5
85	7.20002	5
85	6.40002	5
85	5.60002	5
85	4.80002	5
85	4.00002	5
85	3.20002	5
85	2.40002	5
85	1.60002	5
85	0.80002	5
85	2.01583e-05	5
85	-0.79998	5
85.5	0	5
86	0	5
86.5	0	5
87	0	5
87.5	0	5
88	0	5
88.5	0	5
89	0	5
89.5	0	5
90	0	5
90	0.8	5
90	1.6	5
90	2.4	5
90	3.2	5
90	4	5
90	4.8	5
90	5.6	5
90	6.4	5
90	7.2	5
90	8	5
90	8.8	5
90	9.6	5
90	10.4	5
90	11.2	5
90	12	5
90	12.8	5
90	13.6	5
90	14.4	5
90	15.2	5
90	16	5
90	16.8	5
90	17.6	5
90	18.4	5
90	19.2	5
90	20	5
90	20.8	5
90	21.6	5
90	22.4	5
90	23.2	5
90	24	5
90	24.8	5
90	25.6	5
90	26.4	5
90	27.2	5
90	28	5
90	28.8	5
90	29.6	5
90	30.4	5
90	31.2	5
90	32	5
90	32.8	5
90	33.6	5
90	34.4	5
90	35.2	5
90	36	5
90	36.8	5
90	37.6	5
90	38.4	5
90	39.2	5
90	40	5
90	40.8	5
90.5	40	5
91	40	5
91.5	40	5
92	40	5
92.5	40	5
93	40	5
93.5	40	5
94	40	5
94.5	40	5
95	40	5
95	39.2	5
95	38.4	5
95	37.6	5
95	36.8	5
95	36	5
95	35.2	5
95	34.4	5
95	33.6	5
95	32.8	5
95	32	5
95	31.2	5
95	30.4	5
95	29.6	5
95	28.8	5
95	28	5
95	27.2	5
95	26.4	5
95	25.6	5
95	24.8	5
95	24	5
95	23.2	5
95	22.4	5
95	21.6	5
95	20.8	5
95	20	5
95	19.2	5
95	18.4	5
95	17.6	5
95	16.8	5
95	16	5
95	15.2	5
95	14.4	5
95	13.6	5
95	12.8	5
95	12	5
95	11.2	5
95	10.4	5
95	9.60002	5
95	8.80002	5
95	8.00002	5
95	7.20002	5
95	6.40002	5
95	5.60002	5
95	4.80002	5
95	4.00002	5
95	3.20002	5
95	2.40002	5
95	1.60002	5
95	0.80002	5
95	2.01583e-05	5
95	-0.79998	5
95.5	0	5
96	0	5
96.5	0	5
97	0	5
97.5	0	5
98	0	5
98.5	0	5
99	0	5
99.5	0	5
100	0	5
100	0.8	5
100	1.6	5
100	2.4	5
100	3.2	5
100	4	5
100	4.8	5
100	5.6	5
100	6.4	5
100	7.2	5
100	8	5
100	8.8	5
100	9.6	5
100	10.4	5
100	11.2	5
100	12	5
100	12.8	5
100	13.6	5
100	14.4	5
100	15.2	5
100	16	5
100	16.8	5
100	17.6	5
100	18.4	5
100	19.2	5
100	20	5
100	20.8	5
100	21.6	5
100	22.4	5
100	23.2	5
100	24	5
100	24.8	5
100	25.6	5
100	26.4	5
100	27.2	5
100	28	5
100	28.8	5
100	29.6	5
100	30.4	5
100	31.2	5
100	32	5
100	32.8	5
100	33.6	5
100	34.4	5
100	35.2	5
100	36	5
100	36.8	5
100	37.6	5
100	38.4	5
100	39.2	5
100	40	5
100	40.8	5
