UAV1X	UAV1Y	UAV1Z	UAV1situation	UAV1_t	UAV2X	UAV2Y	UAV2Z	UAV2situation	UAV2_t	UAV3X	UAV3Y	UAV3Z	UAV3situation	UAV3_t	
0	0	5	1	2.4272	0	0	5	1	2.42726	0	0	0	0	2.42727	
0.6	0	5	2	2.46455	0.45	0	5	2	2.4646	0.3	0	5	1	2.46461	
1.35	0	5	2	2.50027	1.2	0	5	2	2.5003	1.05	0	5	2	2.5003	
2.1	0	5	2	2.53569	1.95	0	5	2	2.53572	1.8	0	5	2	2.53572	
3	0	5	2	2.57292	2.85	0	5	2	2.57295	2.7	0	5	2	2.57295	
3.75	0	5	2	2.60716	3.6	0	5	2	2.60719	3.45	0	5	2	2.60719	
4.5	0	5	2	2.64223	4.35	0	5	2	2.64226	4.2	0	5	2	2.64226	
5.4	0	5	2	2.67724	5.25	0	5	2	2.67727	5.1	0	5	2	2.67728	
6.15	0	5	2	2.71345	6	0	5	2	2.71347	5.85	0	5	2	2.71348	
6.9	0	5	2	2.7462	6.75	0	5	2	2.74623	6.6	0	5	2	2.74623	
7.8	0	5	2	2.77793	7.5	0	5	2	2.77802	7.5	0	5	2	2.77803	
8.55	0	5	2	2.80921	8.4	0	5	2	2.80925	8.25	0	5	2	2.80926	
9.3	0	5	2	2.83962	9.15	0	5	2	2.83968	9	0	5	2	2.8397	
10.2	0	5	2	2.87037	9.9	0	5	2	2.87042	9.9	0	5	2	2.87043	
10.95	0	5	2	2.9013	10.8	0	5	2	2.90135	10.65	0	5	2	2.90137	
11.7	0	5	2	2.93184	11.55	0	5	2	2.93189	11.4	0	5	2	2.93192	
12.45	0	5	2	2.96209	12.3	0	5	2	2.96217	12.3	0	5	2	2.96218	
13.35	0	5	2	2.9954	13.2	0	5	2	2.99545	13.05	0	5	2	2.99546	
14.1	0	5	2	3.03052	13.95	0	5	2	3.03057	13.8	0	5	2	3.03059	
14.85	0	5	2	3.06653	14.7	0	5	2	3.06666	14.7	0	5	2	3.06667	
15.75	0	5	2	3.10199	15.6	0	5	2	3.10203	15.45	0	5	2	3.10204	
16.1156	0.557958	5	3	3.14061	16.35	0	5	2	3.14066	16.2	0	5	2	3.14067	
16.3008	1.28376	5	3	3.16802	17.1	0	5	2	3.16805	17.1	0	5	2	3.16805	
16.4405	2.17237	5	3	3.20456	18	0	5	2	3.20461	17.85	0	5	2	3.20462	
16.5138	2.91862	5	3	3.23848	18.75	0	5	2	3.23852	18.6	0	5	2	3.23853	
16.5623	3.66698	5	3	3.27408	19.5	0	5	2	3.27413	19.5	0	5	2	3.27415	
16.6024	4.56605	5	3	3.30935	20.4	0	5	2	3.30938	20.25	0	5	2	3.30939	
16.6232	5.31575	5	3	3.34482	21.15	0	5	2	3.34485	21	0	5	2	3.34486	
16.637	6.06561	5	3	3.38046	21.9	0	5	2	3.38049	21.9	0	5	2	3.3805	
16.6484	6.96554	5	3	3.41393	22.8	0	5	2	3.41395	22.65	0	5	2	3.41396	
16.6543	7.71551	5	3	3.45022	23.55	0	5	2	3.45026	23.4	0	5	2	3.45026	
16.6583	8.4655	5	3	3.48458	24.3	0	5	2	3.4846	24.3	0	5	2	3.48461	
16.6615	9.3655	5	3	3.51962	25.2	0	5	2	3.51967	25.05	0	5	2	3.51968	
16.6632	10.1155	5	3	3.55086	25.95	0	5	2	3.55089	25.8	0	5	2	3.5509	
16.6643	10.8655	5	3	3.58166	26.7	0	5	2	3.5817	26.55	0	5	2	3.58171	
16.6652	11.7655	5	3	3.61173	27.45	0	5	2	3.61186	27.45	0	5	2	3.61187	
16.6657	12.5155	5	3	3.6351	28.35	0	5	2	3.63513	28.2	0	5	2	3.63513	
16.666	13.2655	5	3	3.64805	29.1	0	5	2	3.64808	28.95	0	5	2	3.64808	
16.6663	14.1655	5	3	3.68047	29.8499	0	5	2	3.68052	29.8499	0	5	2	3.68053	
16.6664	14.9155	5	3	3.71622	30.7499	0	5	2	3.71626	30.5999	0	5	2	3.71627	
16.6665	15.6655	5	3	3.74627	31.4999	0	5	2	3.7463	31.3499	0	5	2	3.74631	
16.6666	16.5655	5	3	3.76961	32.2499	0	5	2	3.76967	32.2499	0	5	2	3.76968	
16.6666	17.3155	5	3	3.78807	33.15	0	5	2	3.78812	33	0	5	2	3.78814	
16.6666	18.0655	5	3	3.82364	33.9	0	5	2	3.8237	33.75	0	5	2	3.82371	
16.6666	18.9655	5	3	3.85936	34.65	0	5	2	3.8594	34.65	0	5	2	3.85941	
16.6666	19.7155	5	3	3.89691	35.55	0	5	2	3.89695	35.4	0	5	2	3.89695	
16.6667	20.4655	5	3	3.93216	36.3	0	5	2	3.93222	36.15	0	5	2	3.93223	
16.6667	21.2155	5	3	3.96544	37.05	0	5	2	3.96549	37.05	0	5	2	3.9655	
16.6667	22.1155	5	3	4.00215	37.95	0	5	2	4.0022	37.8	0	5	2	4.00221	
16.6667	22.8655	5	3	4.03991	38.7	0	5	2	4.03995	38.55	0	5	2	4.03996	
16.6667	23.6155	5	3	4.07704	39.45	0	5	2	4.07707	39.45	0	5	2	4.07707	
16.6667	24.5155	5	3	4.11162	40.35	0	5	2	4.11164	40.2	0	5	2	4.11165	
16.6667	25.2655	5	3	4.1441	41.1	0	5	2	4.14413	40.95	0	5	2	4.14414	
16.6667	26.0155	5	3	4.17172	41.85	0	5	2	4.17174	41.85	0	5	2	4.17175	
16.6667	26.9155	5	3	4.20627	42.7501	0	5	2	4.2063	42.6001	0	5	2	4.20631	
16.6667	27.6655	5	3	4.23853	43.5001	0	5	2	4.23858	43.3501	0	5	2	4.2386	
16.6667	28.4154	5	3	4.26957	44.2501	0	5	2	4.26962	44.2501	0	5	2	4.26964	
16.6667	29.3154	5	3	4.30103	45.1501	0	5	2	4.30109	45.0001	0	5	2	4.3011	
16.6667	30.0654	5	3	4.33058	45.9001	0	5	2	4.33063	45.7501	0	5	2	4.33064	
16.6667	30.8154	5	3	4.36163	46.6501	0	5	2	4.36167	46.6501	0	5	2	4.36168	
16.6667	31.7154	5	3	4.39203	47.5501	0	5	2	4.39208	47.4001	0	5	2	4.3921	
16.6667	32.4654	5	3	4.42265	48.3001	0	5	2	4.42674	48.1501	0	5	2	4.42676	
16.6667	33.2155	5	3	4.45776	49.0501	0	5	2	4.45781	49.0501	0	5	2	4.45782	
16.6667	34.1155	5	3	4.48941	49.6042	0.437254	5	3	4.48946	49.8001	0	5	2	4.48947	
16.6667	34.8655	5	3	4.52417	49.7324	1.17579	5	3	4.52422	50.5501	0	5	2	4.52423	
16.6667	35.6155	5	3	4.55979	49.8176	1.92076	5	3	4.55984	51.4501	0	5	2	4.55986	
16.6667	36.5155	5	3	4.59541	49.8871	2.81798	5	3	4.59545	52.2001	0	5	2	4.59546	
16.6667	37.2655	5	3	4.62542	49.9239	3.56704	5	3	4.62548	52.9502	0	5	2	4.62549	
16.6667	38.0155	5	3	4.66139	49.9482	4.31663	5	3	4.66148	53.8502	0	5	2	4.66149	
16.6667	38.9155	5	3	4.69904	49.968	5.21641	5	3	4.69909	54.6002	0	5	2	4.6991	
16.6667	38.7655	5	3	4.73451	49.9784	5.96634	5	3	4.73455	55.3502	0	5	2	4.73456	
16.6667	38.0155	5	3	4.77088	49.9853	6.7163	5	3	4.77092	56.2502	0	5	2	4.77093	
16.6667	37.1155	5	3	4.79925	49.9902	7.46629	5	3	4.7993	57.0002	0	5	2	4.79931	
16.42	36.4185	5	4	4.84177	49.907	7.69647	5.11328	5	4.8418	57.7502	0	5	2	4.84181	
16.1842	35.743	4.97702	4	4.8786	49.8538	7.84965	5.189	5	4.87863	58.6502	0	5	2	4.87863	
16.2375	35.1088	4.85803	6	4.9113	49.7779	8.07949	5.30281	5	4.91133	59.4002	0	5	2	4.91134	
16.2997	34.369	4.70545	6	4.94762	49.707	8.30936	5.4169	5	4.94766	60.1502	0	5	2	4.94766	
16.3496	33.7743	4.56918	6	4.98253	49.6619	8.46229	5.49314	5	4.98255	61.0502	0	5	2	4.98256	
16.3975	33.2043	4.42371	6	5.01091	49.5983	8.69167	5.6077	5	5.01094	61.8002	0	5	2	5.01095	
