X	Y	Z
83.3333	0	5
83.3333	0.8	5
83.3333	1.6	5
83.3333	2.4	5
83.3333	3.2	5
83.3333	4	5
83.3333	4.8	5
83.3333	5.6	5
83.3333	6.4	5
83.3333	7.2	5
83.3333	8	5
83.3333	8.8	5
83.3333	9.6	5
83.3333	10.4	5
83.3333	11.2	5
83.3333	12	5
83.3333	12.8	5
83.3333	13.6	5
83.3333	14.4	5
83.3333	15.2	5
83.3333	16	5
83.3333	16.8	5
83.3333	17.6	5
83.3333	18.4	5
83.3333	19.2	5
83.3333	20	5
83.3333	20.8	5
83.3333	21.6	5
83.3333	22.4	5
83.3333	23.2	5
83.3333	24	5
83.3333	24.8	5
83.3333	25.6	5
83.3333	26.4	5
83.3333	27.2	5
83.3333	28	5
83.3333	28.8	5
83.3333	29.6	5
83.3333	30.4	5
83.3333	31.2	5
83.3333	32	5
83.3333	32.8	5
83.3333	33.6	5
83.3333	34.4	5
83.3333	35.2	5
83.3333	36	5
83.3333	36.8	5
83.3333	37.6	5
83.3333	38.4	5
83.3333	39.2	5
83.3333	40	5
83.3333	40.8	5
83.3333	40.8	5
83.3333	40	5
83.3333	39.2	5
83.3333	38.4	5
83.3333	37.6	5
83.3333	36.8	5
83.3333	36	5
83.3333	35.2	5
83.3333	34.4	5
83.3333	33.6	5
83.3333	32.8	5
83.3333	32	5
83.3333	31.2	5
83.3333	30.4	5
83.3333	29.6	5
83.3333	28.8	5
83.3333	28	5
83.3333	27.2	5
83.3333	26.4	5
83.3333	25.6	5
83.3333	24.8	5
83.3333	24	5
83.3333	23.2	5
83.3333	22.4	5
83.3333	21.6	5
83.3333	20.8	5
83.3333	20	5
83.3333	19.2	5
83.3333	18.4	5
83.3333	17.6	5
83.3333	16.8	5
83.3333	16	5
83.3333	15.2	5
83.3333	14.4	5
83.3333	13.6	5
83.3333	12.8	5
83.3333	12	5
83.3333	11.2	5
83.3333	10.4	5
83.3333	9.6	5
83.3333	8.8	5
83.3333	8	5
83.3333	7.2	5
83.3333	6.4	5
83.3333	5.6	5
83.3333	4.8	5
83.3333	4	5
83.3333	3.2	5
83.3333	2.4	5
83.3333	1.6	5
